BB_TICKER,EXCH_NAME,City,Country,EXCH_CODE,EXCH_FEED,TIME_ZONE_NUM,TICKER,NAME,ID_EXCH_SYMBOL,ID_BB,ID_BB_PARSEKEY,FEED_CODE,FEED_SOURCE,TICKER_RT,FUT_GEN_MONTH,FUT_TRADING_UNITS,PX_SCALING_FACTOR,FUT_CONT_SIZE,FUT_TICK_SIZE,FUT_TICK_VAL,TRADING_DAY_START_TIME_EOD,TRADING_DAY_END_TIME_EOD,CRNCY,QUOTED_CRNCY,SES_START,SES_END,FUT_TRADING_HRS,SECURITY_TYP2,SECURITY_TYP,FUTURES_CATEGORY,ASSET_CLASS,PRODUCT,EXPOSURE,TRADE,INDEX,ID_RIC,CODE,DISPLAY_NAME,EXCH_ID,TRD_UNITS,LOTSUNITS,OPEN_INT
TWA Index,Singapore Exchange (was SIMEX),Singapore,Singapore,SGX,XSIM,8,TWN6,MSCI TAIWAN Index,TW,TW,TWmY Index,SIMEX,cSGX,TWN6,FGHJKMNQUVXZ,$ x index,1,100,0.1,10,07:20:00,06:50:00,USD,USD,07:20:00,06:50:00,07:35-19:00 & 01:45-06:50,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,TRUE,TW,TWc1,Retrieving...,Retrieving...,Retrieving...,Retrieving...,Retrieving...
HIA Index,Hong Kong Futures Exchange,Hong Kong,Hong Kong,HKG,XHKF,8,HIN6,HANG SENG Index,HSI,HI,HImY Index,HONGKONG,cHKG,HIN6,FGHJKMNQUVXZ,HKD x index,1,50,1,50,10:00:00,09:15:00,HKD,HKD,10:00:00,09:15:00,10:00-16:45 & 02:15-09:15,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,TRUE,HSI,HSIc1,HANG SENG JUL6/d,HFE,INT ,INDEX,104623
HUA Index,Hong Kong Futures Exchange,Hong Kong,Hong Kong,HKG,XHKF,8,HUN6,HANG SENG Index MINI,MHI,HU,HUmY Index,HONGKONG,cHKG,HUN6,FGHJKMNQUVXZ,HKD x index,1,10,1,10,10:00:00,09:15:00,HKD,HKD,10:00:00,09:15:00,10:00-16:45 & 02:15-09:15,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,FALSE,FALSE,MHI,MHIc1,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found
HCA Index,Hong Kong Futures Exchange,Hong Kong,Hong Kong,HKG,XHKF,8,HCN6,H-SHARES Index,HHI,HC,HCmY Index,HONGKONG,cHKG,HCN6,FGHJKMNQUVXZ,HKD x index,1,50,1,50,10:00:00,09:15:00,HKD,HKD,10:00:00,09:15:00,10:00-16:45 & 02:15-09:15,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,TRUE,HHI,HHIc1,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found
MHCA Index,Hong Kong Futures Exchange,Hong Kong,Hong Kong,HKG,XHKF,8,MHCN6,H-SHARES Index MINI,MCH,MHC,MHCmY Index,HONGKONG,cHKG,MHCN6,FGHJKMNQUVXZ,HKD x index,1,10,1,10,10:00:00,09:15:00,HKD,HKD,10:00:00,09:15:00,10:00-16:45 & 02:15-09:15,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,FALSE,FALSE,MCH,MCHc1,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found
VGA Index,Eurex,Frankfurt,Germany,EUX,XEUR,2,VGU6,EURO STOXX 50 Index,FESX,VG,VGmY Index,EUREX,EUX,VGU6,HMUZ,EUR x index,1,10,1,10,07:00:00,21:05:00,EUR,EUR,07:00:00,21:05:00,06:50-21:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,TRUE,.STOXX50,.STOXX50c1,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found
Z A Index,ICE Futures Europe Financials,London,United Kingdom,ICF,IFLL,1,Z U6,FTSE 100 Index,Z,Z ,Z mY Index,ICE EUR,ICF,Z U6,HMUZ,£ x index,1,10,0.5,5,01:00:00,21:00:00,GBP,GBP,01:00:00,21:00:00,01:00-21:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,TRUE,Z,Zc1,Retrieving...,Retrieving...,Retrieving...,Retrieving...,Retrieving...
GXA Index,Eurex,Frankfurt,Germany,EUX,XEUR,2,GXU6,DAX Index,FDAX,GX,GXmY Index,EUREX,EUX,GXU6,HMUZ,EUR x index,1,25,0.5,12.5,07:00:00,21:05:00,EUR,EUR,07:00:00,21:05:00,06:50-21:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,TRUE,FDX,FDXc1,DAX INDEX SEP6,DTB,1DP ,UNITS,107818
CFA Index,Euronext Derivatives Paris,Paris,France,EOP,XMON,2,CFN6,CAC40 10 Index,FCE,CF,CFmY Index,LIFFE,EOP1,CFN6,FGHJKMNQUVXZ,EUR x index,1,10,0.5,5,07:00:00,21:00:00,EUR,EUR,07:00:00,21:00:00,07:00-21:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,TRUE,FCE,FCEc1,CAC 40 AUG6/d,PAR,1DP ,INDEX,246476
STA Index,Borsa Italiana (IDEM),Milan,Italy,MIL,XDMI,2,STU6,FTSE MIB Index,FTMIB,ST,STmY Index,Italy,IM,STU6,HMUZ,EUR x Index,1,5,5,25,08:00:00,16:40:00,EUR,EUR,08:00:00,16:40:00,08:00-16:50,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,FALSE,FALSE,IFS,IFSc1,FTSE MIB FUT S/d,MIL,INT , EUR ,44244
IBA Index,Meff Renta Variable (Madrid),Madrid,Spain,MFM,XMRV,2,IBN6,IBEX 35 Index,FIE,IB,IBmY Index,MEFF,SM,IBN6,FGHJKMNQUVXZ,EUR x index,1,10,1,10,08:00:00,19:00:00,EUR,EUR,08:00:00,19:00:00,08:00-19:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,TRUE,MFXI,MFXIc1,IBEX35 AUG6/d,MRV,2DP , EUR ,84058
QCA Index,OMX Nordic Exchange Stockholm,Stockholm,Sweden,SSE,XSTO,2,QCQ6,OMXS30 Index,OMXS30,QC,QCmY Index,NORDIC,SS,QCQ6,FGHJKMNQUVXZ,SEK x Index,1,100,0.25,25,08:00:00,16:30:00,SEK,SEK,08:00:00,16:30:00,08:00-16:25,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,FALSE,FALSE,OMXS30,OMXS30c1,OMXS30 FUT AUG/d,STO,2DP ,INDEX,421304
