Contract,Expiry,Month,Code,BB Suffix,BB Ticker,Region,Description,Last,Net Ch,Time,High,Low,NAME,Full Description,FUT_GEN_MONTH,NAME,ID_BB_GLOBAL_COMPANY_NAME,COUNTRY,COUNTRY_ISO,COUNTRY_FULL_NAME,NEWS_TOPIC,TODAY_DT,FUT_TRADING_HRS,FUT_FIRST_TRADE_DT,FUT_ROLL_DT,FEED_CODE,ID_BB,ID_BB_SEC_NUM,ID_EXCH_SYMBOL,PRICE_LAST_TIME,ID_ISIN,ID_MIC_PRIM_EXCH,SECURITY_DES,SHORT_NAME,SECURITY_NAME,SECURITY_NAME_LANG,FUT_LONG_NAME,SECURITY_DESCRIPTION_RT,TICKER,UNDL_SPOT_TICKER,TICKER_RT,FUT_CONT_SIZE,FUT_NUM_GEN_AVAIL,CRNCY,QUOTE_UNITS,FUT_DLV_DT_FIRST,FUT_DLV_DT_LAST,LAST_TRADEABLE_DT,FUT_DAYS_EXPIRE,FUT_ACT_DAYS_EXP,FUT_MONTH_YR,FUT_CONTRACT_DT,CURRENT_CONTRACT_MONTH_YR,MARKET_SECTOR_DES,MARKET_SECTOR,UNDL_MARKET_SECTOR,BB_COUNTRY_CODE,CALENDAR_CODE,CDR_SETTLE_CODE,CASH_SETTLED,CASH_SETTLED_RT
BZ,Feb17,G7,BZG7,Index,BZG7 Index,Brazil,IBOVESPA,52735,76,42558,53465,52560,BOVESPA INDEX FUT,BMF Ibovespa Index Future,GJMQVZ,BOVESPA INDEX FUT Aug16,BMF Ibovespa Index Future,BR,BR,BRAZIL,BZS,23/01/2017,11:00-20:10,02/04/2015,15/02/2017,BMF,BZG7,53888059,IND,09:08:46,BRBMEFIBV293,BVMF,BZG7,BOVESPA INDEX FUT Feb17,BOVESPA INDEX FUT Feb17,1,BOVESPA INDEX FUT Feb17,BZG7,BZG7,IBOV,BZG7,1,15,BRL,index points,15/02/2017,15/02/2017,15/02/2017,24,23,FEB 17,02/2017,FEB 17,Index,9,9,BZ,B3,B3,Y,TRUE
IS,Mar17,H7,ISH7,Index,ISH7 Index,Mexico,MEX IPC,45614,120,42558,45865,45430,MEX BOLSA IDX FUT,MexDer Mexican Bolsa Index Future,HMUZ,MEX BOLSA IDX FUT Sep16,MexDer Mexican Bolsa Index Future,MX,MX,MEXICO,MMS,23/01/2017,13:30-21:00,22/03/2016,17/03/2017,MEXICO,ISH7,60554259,IPC,18:03:35,#N/A Field Not Applicable,XEMD,ISH7,MEX BOLSA IDX FUT Mar17,MEX BOLSA IDX FUT Mar17,1,MEX BOLSA IDX FUT Mar17,ISH7,ISH7,MEXBOL,ISH7,10,4,MXN,MXN x index,21/03/2017,21/03/2017,17/03/2017,56,53,MAR 17,03/2017,MAR 17,Index,9,9,MX,M$,M$,Y,TRUE
IPA,Mar17,H7,IPAH7,Index,IPAH7 Index,Chile,IPSA,4027.7,-21.6,42558,,,IPSA Index Future,IPSA MINI Index Future,FGHJKMQUVXZ,IPSA Index Future Sep16,IPSA MINI Index Future,CL,CL,CHILE,#N/A N/A,23/01/2017,13:40-21:00,30/03/2016,15/03/2017,CHILE,IPAH7,60976359,IPSA,07:14:02,#N/A Field Not Applicable,XSGO,IPAH7,IPSA Index Future Mar17,IPSA Index Future Mar17,1,IPSA Index Future Mar17,IPAH7,IPAH7,IPSA,IPAH7,3000,4,CLP,#N/A N/A,15/03/2017,15/03/2017,15/03/2017,#N/A N/A,51,MAR 17,03/2017,MAR 17,Index,9,9,CL,S4,S4,N,FALSE
IPB,Mar17,H7,IPBH7,Index,IPBH7 Index,Chile,IPSA mini,4027.7,-21.6,42558,,,IPSA Mini Index,IPSA Index Future,FGHJKMNQUVXZ,IPSA Mini Index   Sep16,IPSA Index Future,CL,CL,CHILE,#N/A N/A,23/01/2017,13:30-20:00,21/03/2016,17/03/2017,CHILE,IPBH7,60554243,IPSAM,07:14:02,#N/A Field Not Applicable,XSGO,IPBH7,IPSA Mini Index   Mar17,IPSA Mini Index   Mar17,1,IPSA Mini Index   Mar17,IPBH7,IPBH7,IPSA,IPBH7,300,5,CLP,#N/A N/A,17/03/2017,17/03/2017,17/03/2017,#N/A N/A,53,MAR 17,03/2017,MAR 17,Index,9,9,CL,S4,S4,Y,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VG,Mar17,H7,VGH7,Index,VGH7 Index,EUROPE,EURO STOXX 50,2783,9,0.381944444,2787,2758,EURO STOXX 50,Eurex EURO STOXX 50 Future,HMUZ,EURO STOXX 50     Sep16,Eurex EURO STOXX 50 Future,DE,DE,GERMANY,EURSTK,23/01/2017,06:50-21:00,17/06/2016,17/03/2017,EUREX,VGH7,4201611,FESX,09:09:01,DE0009652388,XEUR,VGH7,EURO STOXX 50     Mar17,EURO STOXX 50     Mar17,1,EURO STOXX 50     Mar17,VGH7,VGH7,SX5E,VGH7,10,3,EUR,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,GE,DT,DT,Y,TRUE
VH,Mar17,H7,VHH7,Index,VHH7 Index,EUROPE,STOXX 50,2742,-4,0.379861111,2745,2738,STOXX 50 FUTR,Eurex STOXX 50 Index Future,HMUZ,STOXX 50 FUTR     Sep16,Eurex STOXX 50 Index Future,DE,DE,GERMANY,#N/A N/A,23/01/2017,06:50-21:00,17/06/2016,17/03/2017,EUREX,VHH7,4201615,FSTX,09:04:38,DE0009652362,XEUR,VHH7,STOXX 50 FUTR     Mar17,STOXX 50 FUTR     Mar17,1,STOXX 50 FUTR     Mar17,VHH7,VHH7,SX5P,VHH7,10,3,EUR,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,GE,DT,DT,Y,TRUE
FI,Mar17,H7,FIH7,Index,FIH7 Index,EUROPE,FTSEUROFIRST 80,3750.5,29,42558,,,FTSEUROFIRST 80,LIFFE FTSEurofirst 80 Index Future,HMUZ,FTSEUROFIRST 80   Sep16,LIFFE FTSEurofirst 80 Index Future,FR,FR,FRANCE,#N/A N/A,23/01/2017,07:00-19:00,20/06/2016,17/03/2017,LIFFE,FIH7,63176802,FEF,16:53:00,#N/A N/A,XMON,FIH7,FTSEUROFIRST 80   Mar17,FTSEUROFIRST 80   Mar17,1,FTSEUROFIRST 80   Mar17,FIH7,FIH7,FTEF80,FIH7,10,3,EUR,index points,20/03/2017,20/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,FR,PA,PA,Y,TRUE
EP,Mar17,H7,EPH7,Index,EPH7 Index,EUROPE,FTSEUROFIRST 100,3567.5,35.5,42558,,,FTSEUROFIRST 100,LIFFE FTSEurofirst 100 Index Future,HMUZ,FTSEUROFIRST 100  Sep16,LIFFE FTSEurofirst 100 Index Future,FR,FR,FRANCE,#N/A N/A,23/01/2017,07:00-19:00,20/06/2016,17/03/2017,LIFFE,EPH7,63175255,FEO,16:53:00,#N/A N/A,XMON,EPH7,FTSEUROFIRST 100  Mar17,FTSEUROFIRST 100  Mar17,1,FTSEUROFIRST 100  Mar17,EPH7,EPH7,FTEFC1,EPH7,10,#N/A Field Not Applicable,EUR,index points,20/03/2017,20/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,FR,PA,PA,Y,TRUE
GX,Mar17,H7,GXH7,Index,GXH7 Index,Germany,DAX,9466,53,0.381944444,9477,9356.5,DAX INDEX FUTURE,Eurex DAX Index Future,HMUZ,DAX INDEX FUTURE  Sep16,Eurex DAX Index Future,DE,DE,GERMANY,GRS,23/01/2017,06:50-21:00,20/06/2016,17/03/2017,EUREX,GXH7,4201602,FDAX,09:09:09,DE0008469594,XEUR,GXH7,DAX INDEX FUTURE  Mar17,DAX INDEX FUTURE  Mar17,1,DAX INDEX FUTURE  Mar17,GXH7,GXH7,DAX,GXH7,25,3,EUR,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,GE,DT,DT,Y,TRUE
