,DMU6 Index,SPU6 Index,ESU6 Index,NQU6 Index,RMU6 Index,RTAU6 Index,PTU6 Index,NKU6 Index,NHU6 Index,NIU6 Index,XPU6 Index,XPU6 Index,TWA Index,HIA Index,HUA Index,HCA Index,MHCA Index,VGA Index,Z A Index,GXA Index,CFA Index,STA Index,IBA Index,STA Index,QCA Index,SMU6 Index,BZQ6 Index,FFN6 Comdty,EDZ6 Comdty,TUU6 Comdty,FVU6 Comdty,TYU6 Comdty,UXYU6 Comdty,USU6 Comdty,WNU6 Comdty,BAZ6 Comdty,CNU6 Comdty,ERZ6 Comdty,DUU6 Comdty,OEU6 Comdty,RXU6 Comdty,UBU6 Comdty,L Z6 Comdty,G U6 Comdty,ESZ6 Comdty,OATU6 Comdty,IKU6 Comdty,IRZ6 Comdty,YMU6 Comdty,XMU6 Comdty,ZBZ6 Comdty,YEU6 Comdty,JBU6 Comdty,KEU6 Comdty,KAAU6 Comdty,ODF7 Comdty,DON6 Comdty,GMN6 Comdty,ECU6 COMB Curncy,JYU6 COMB Curncy,CDU6 COMB Curncy,BPU6 COMB Curncy,PEU6 COMB Curncy,SFU6 COMB Curncy,ADU6 COMB Curncy,DSN6 Curncy,GDV6 Curncy,UCQ6 Curncy,NVA Curncy,SEA Curncy,NOA Curncy,RAA Curncy,RYA Curncy,RPA Curncy,RFA Curncy,GC1 Comdty,HGQ6 Comdty,PAU6 Comdty,PLA Comdty,SIU6 Comdty,QSA Comdty,CLA Comdty,HOA Comdty,NGA Comdty,XBA Comdty,CKCA Comdty,JEA Comdty,KCU6 Comdty,AXU6 Comdty,C U6 Comdty,CTA Comdty,LHQ6 Comdty,LCQ6 Comdty,LBA Comdty,O Z6 Comdty,DAN6 Comdty,JOA Comdty,RSA Comdty,RRU6 Comdty,RTA Comdty,S A Comdty,SMA Comdty,BOA Comdty,SBA Comdty,W A Comdty
FEED_CODE,CBOT,CME,CME,CME,ICE US,ICE US,MONTREAL,JAPAN,CME,SIMEX,SYDNEY,SYDNEY,SIMEX,HONGKONG,HONGKONG,HONGKONG,HONGKONG,EUREX,ICE EUR,EUREX,LIFFE,Italy,MEFF,Italy,NORDIC,MEXICO,BMF,CBOT,CME,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT,MONTREAL,MONTREAL,ICE EUR,EUREX,EUREX,EUREX,EUREX,ICE EUR,ICE EUR,ICE EUR,EUREX,EUREX,SYDNEY,SYDNEY,SYDNEY,NEW ZEAL,TIFFE,JAPAN,KFE,KFE,BMF,MEXICO,MEXICO,CME,CME,CME,CME,CME,CME,CME,MEXICO,BMF,BMF,CME,CME,CME,CME,CME,CME,CME,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX,ICE EUR,NYMEX,NYMEX,NYMEX,NYMEX,DALIAN,TOKYO,ICE US,BMF,CBOT,ICE US,CME,CME,CME,CBOT,CME,ICE US,ICE CAN,CBOT,Shanghai,CBOT,CBOT,CBOT,ICE US,CBOT
FEED_SOURCE,eCBT,cCME,eCME,eCME,eNYB,eNYB,MSE,cJO,eCME,cSGX,cSFE,cSFE,cSGX,cHKG,cHKG,cHKG,cHKG,EUX,ICF,EUX,EOP1,IM,SM,IM,SS,MDX,BMF,cCBT,cCME,cCBT,cCBT,cCBT,cCBT,cCBT,cCBT,MSE,MSE,ICF,EUX,EUX,EUX,EUX,ICF,ICF,ICF,EUX,EUX,cSFE,cSFE,cSFE,cSFE,TFX,cJO,KFE,KFE,BMF,MDX,MDX,cCME,cCME,cCME,cCME,cCME,cCME,cCME,MDX,BMF,BMF,cCME,eCME,eCME,cCME,eCME,cCME,eCME,cCMX,cCMX,cNYM,cNYM,cCMX,ICE,cNYM,cNYM,cNYM,cNYM,cDCE,cTCM,eNYB,BMF,cCBT,eNYB,cCME,cCME,cCME,cCBT,cCME,eNYB,WCE,cCBT,cSHF,cCBT,cCBT,cCBT,eNYB,cCBT
TICKER_RT,DMU6,SPU6,ESU6,NQU6,RMU6,RTAU6,PTU6,#N/A Real Time,#N/A Real Time,#N/A Real Time,XPU6,XPU6,TWN6,HIN6,HUN6,HCN6,MHCN6,VGU6,Z U6,GXU6,CFN6,STU6,IBN6,STU6,QCQ6,ISU6,BZQ6,FFN6,EDZ6,TUU6,FVU6,TYU6,UXYU6,USU6,WNU6,BAZ6,CNU6,ERZ6,DUU6,OEU6,RXU6,UBU6,0LZ6,G U6,ESZ6,OATU6,IKU6,IRZ6,YMU6,XMU6,ZBZ6,YEU6,JBU6,KEU6,KAAU6,ODF7,DON6,GMN6,ECU6,JYU6,CDU6,BPU6,PEU6,SFU6,ADU6,DSN6,GDV6,UCQ6,NVU6,SEU6,NOU6,RAU6,RYU6,RPU6,RFU6,GCQ6,HGQ6,PAU6,PLV6,SIU6,QSQ6,CLQ6,HOQ6,NGQ6,XBQ6,CKCU6,JEZ6,#N/A Real Time,AXU6,C U6,CTZ6,LHQ6,LCQ6,LBU6,O Z6,DAN6,JOU6,RSX6,RRU6,RTU6,S X6,SMZ6,BOZ6,SBV6,W U6
FUT_GEN_MONTH,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,HMUZ,HMUZ,HMUZ,FGHJKMNQUVXZ,HMUZ,FGHJKMNQUVXZ,HMUZ,FGHJKMNQUVXZ,HMUZ,GJMQVZ,FGHJKMNQUVXZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,HMUZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,HMUZ,HMUZ,HMUZ,FGHJKMNQUVXZ,HMUZ,HMUZ,HMUZ,GJMQVZ,HKNUZ,HMUZ,FJNV,HKNUZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,HKNUZ,HKNUZ,HKNUZ,HKNVZ,GJKMNQVZ,GJMQVZ,FHKNUX,HKNUZ,FGHJKMNQUVXZ,FHKNUX,FHKNX,FHKNUX,FHJKMNQUVX,FHKNQUX,FHKNQUVZ,FHKNQUVZ,HKNV,HKNUZ
FUT_TRADING_UNITS,$ x index,$ x index,$ x index,index points,$ x index,$ x index,CAD x index,¥ x index,¥ x index,¥ x index,AUD x Index,AUD x Index,$ x index,HKD x index,HKD x index,HKD x index,HKD x index,EUR x index,£ x index,EUR x index,EUR x index,EUR x Index,EUR x index,EUR x Index,SEK x Index,S? x index,BRL x Index,$,$,$,$,$,USD,$,$,CAD,CAD,EUR,EUR,EUR,EUR,EUR,£,£,S?,EUR,EUR,AUD,AUD,AUD,NZD,¥,¥,KRW,KRW,BRL,MXN,MXN,EUR,JPY,CAD,GBP,MXN,CHF,AUD,$,$,USD,NZD,SEK,NOK,ZAR,EUR,EUR,EUR,troy oz.,lbs.,troy oz.,Troy Ounces,troy oz.,tonnes,Barrels,U.S. Gallons,MMBtu,U.S. Gallons,MetricTonnes,(30kg) bags,lbs.,60 kg. bags,Bushels,lbs.,lbs.,lbs.,board feet,bushels,pounds,lbs.,tonnes,CWT,MetricTonnes,bushels,short tons,lbs.,lbs.,Bushels
PX_SCALING_FACTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10000,100,100,100,100,100,1,1,1,100,100,100,100,1,1,1,1,100,1,1,1,1,1,100,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FUT_CONT_SIZE,5,250,50,20,100,100,200,1000,500,500,25,25,100,50,10,50,10,10,10,25,10,5,10,5,100,10,1,5000000,1000000,200000,100000,100000,100000,100000,100000,1000000,100000,1000000,100000,100000,100000,100000,500000,100000,1000000,100000,100000,1000000,100000,100000,1000000,100000000,100000000,100000000,100000000,100000,100000,100000,125000,12500000,100000,62500,500000,125000,100000,10000,50000,50000,100000,2000000,2000000,500000,125000,125000,125000,100,25000,100,50,5000,100,1000,42000,10000,42000,60,80,37500,100,5000,50000,40000,40000,110000,5000,200000,15000,20,2000,10,5000,100,60000,112000,5000
FUT_TICK_SIZE,1,0.1,0.25,0.25,0.1,0.1,0.1,10,5,5,1,1,0.1,1,1,1,1,1,0.5,0.5,0.5,5,1,5,0.25,1,5,0.0025,0.005,0.0078125,0.0078125,0.015625,0.015625,0.03125,0.03125,0.005,0.01,0.005,0.005,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.01,0.005,0.01,0.01,0.01,0.005,0.01,0.01,0.00005,0.005,0.005,0.01,0.001,0.01,0.01,0.0001,0.01,0.5,0.01,0.001,0.001,0.0025,0.01,0.00005,0.0001,0.1,0.05,0.05,0.1,0.005,0.25,0.01,0.01,0.001,0.01,0.5,10,0.05,0.05,0.25,0.01,0.025,0.025,0.1,0.25,0.01,0.05,0.1,0.005,5,0.25,0.1,0.01,0.01,0.25
FUT_TICK_VAL,5,25,12.5,5,10,10,20,10000,2500,2500,25,25,10,50,10,50,10,10,5,12.5,5,25,10,25,25,10,5,10.4175,12.5,15.625,7.8125,15.625,15.625,31.25,31.25,12.5,10,12.5,5,10,10,20,12.5,10,25,10,10,24.44,31.46,54.2,24.4,1250,10000,10000,10000,1.90411735,10,2.48,6.25,6.25,5,6.25,5,12.5,10,1,0.5,25,10,20,20,12.5,1250,6.25,12.5,10,12.5,5,5,25,25,10,4.2,10,4.2,30,800,18.75,5,12.5,5,10,10,11,12.5,20,7.5,2,10,50,12.5,10,6,11.2,12.5
TRADING_DAY_START_TIME_EOD,23:00:00,23:00:00,23:00:00,23:00:00,01:00:00,01:00:00,11:00:00,#N/A N/A,23:00:00,#N/A N/A,08:00:00,08:00:00,07:20:00,10:00:00,10:00:00,10:00:00,10:00:00,07:00:00,01:00:00,07:00:00,07:00:00,08:00:00,08:00:00,08:00:00,08:00:00,07:00:00,12:55:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,11:00:00,11:00:00,01:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:30:00,08:00:00,07:30:00,07:00:00,07:00:00,07:58:00,08:00:00,08:02:00,06:01:00,00:30:00,07:30:00,00:00:00,00:00:00,13:00:00,14:00:00,14:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,14:00:00,13:00:00,12:55:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,01:00:00,23:00:00,23:00:00,23:00:00,23:00:00,14:00:00,08:30:00,#N/A N/A,19:25:00,01:00:00,02:00:00,14:30:00,14:30:00,23:00:00,01:00:00,23:00:00,13:00:00,01:00:00,01:00:00,14:00:00,01:00:00,01:00:00,01:00:00,08:30:00,01:00:00
TRADING_DAY_END_TIME_EOD,22:00:00,22:00:00,22:00:00,22:00:00,23:00:00,23:00:00,21:15:00,#N/A N/A,22:00:00,#N/A N/A,07:30:00,07:30:00,06:50:00,09:15:00,09:15:00,09:15:00,09:15:00,21:05:00,21:00:00,21:05:00,21:00:00,16:40:00,19:00:00,16:40:00,16:30:00,21:05:00,21:55:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:05:00,21:10:00,21:00:00,18:00:00,18:00:00,18:00:00,19:00:00,18:06:00,07:30:00,07:30:00,07:30:00,05:30:00,12:15:00,07:05:00,07:15:00,07:15:00,22:00:00,21:00:00,21:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,21:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,23:00:00,22:00:00,22:00:00,22:00:00,22:00:00,09:00:00,07:20:00,#N/A N/A,19:00:00,19:20:00,19:30:00,19:05:00,19:05:00,22:00:00,19:20:00,22:00:00,19:00:00,19:20:00,19:20:00,08:00:00,19:20:00,19:20:00,19:20:00,18:00:00,19:20:00
CRNCY,USD,USD,USD,USD,USD,USD,CAD,JPY,JPY,JPY,AUD,AUD,USD,HKD,HKD,HKD,HKD,EUR,GBP,EUR,EUR,EUR,EUR,EUR,SEK,CHF,BRL,USD,USD,USD,USD,USD,USD,USD,USD,CAD,CAD,EUR,EUR,EUR,EUR,EUR,GBP,GBP,CHF,EUR,EUR,AUD,AUD,AUD,NZD,JPY,JPY,KRW,KRW,BRL,MXN,MXN,USD,USD,USD,USD,USD,USD,USD,MXN,BRL,BRL,USD,USD,USD,USD,JPY,GBP,CHF,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,CNY,JPY,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,CAD,USD,CNY,USD,USD,USD,USD,USD
QUOTED_CRNCY,USD,USD,USD,USD,USD,USD,CAD,JPY,JPY,JPY,AUD,AUD,USD,HKD,HKD,HKD,HKD,EUR,GBP,EUR,EUR,EUR,EUR,EUR,SEK,CHF,BRL,USD,USD,USD,USD,USD,USD,USD,USD,CAD,CAD,EUR,EUR,EUR,EUR,EUR,GBP,GBP,CHF,EUR,EUR,AUD,AUD,AUD,NZD,JPY,JPY,KRW,KRW,BRL,MXN,MXN,USD,USd,USd,USd,USd,USd,USd,MXN,BRL,BRL,USd,USd,USd,USd,JPY,GBP,CHF,USD,USd,USD,USD,USD,USD,USD,USd,USD,USd,CNY,JPY,USd,USD,USd,USd,USd,USd,USD,USd,USD,USd,CAD,USD,CNY,USd,USD,USd,USd,USd
SES_START,23:00:00,23:00:00,23:00:00,23:00:00,01:00:00,01:00:00,11:00:00,#N/A Real Time,#N/A Real Time,#N/A Real Time,08:00:00,08:00:00,07:20:00,10:00:00,10:00:00,10:00:00,10:00:00,07:00:00,01:00:00,07:00:00,07:00:00,08:00:00,08:00:00,08:00:00,08:00:00,07:00:00,12:55:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,11:00:00,11:00:00,01:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:30:00,08:00:00,07:30:00,07:00:00,07:00:00,07:58:00,08:00:00,08:02:00,06:01:00,00:30:00,07:30:00,00:00:00,00:00:00,13:00:00,14:00:00,14:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,14:00:00,13:00:00,12:55:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,01:00:00,23:00:00,23:00:00,23:00:00,23:00:00,14:00:00,08:30:00,#N/A Real Time,19:25:00,01:00:00,02:00:00,14:30:00,14:30:00,23:00:00,01:00:00,23:00:00,13:00:00,01:00:00,01:00:00,14:00:00,01:00:00,01:00:00,01:00:00,08:30:00,01:00:00
SES_END,22:00:00,22:00:00,22:00:00,22:00:00,23:00:00,23:00:00,21:15:00,#N/A Real Time,#N/A Real Time,#N/A Real Time,07:30:00,07:30:00,06:50:00,09:15:00,09:15:00,09:15:00,09:15:00,21:05:00,21:00:00,21:05:00,21:00:00,16:40:00,19:00:00,16:40:00,16:30:00,21:05:00,21:55:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:05:00,21:10:00,21:00:00,18:00:00,18:00:00,18:00:00,19:00:00,18:06:00,07:30:00,07:30:00,07:30:00,05:30:00,12:15:00,07:05:00,07:15:00,07:15:00,22:00:00,21:00:00,21:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,21:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,23:00:00,22:00:00,22:00:00,22:00:00,22:00:00,09:00:00,07:20:00,#N/A Real Time,19:00:00,19:20:00,19:30:00,19:05:00,19:05:00,22:00:00,19:20:00,22:00:00,19:00:00,19:20:00,19:20:00,08:00:00,19:20:00,19:20:00,19:20:00,18:00:00,19:20:00
FUT_TRADING_HRS,23:00-22:00,23:00-22:00 & 14:30-21:15,23:00-22:00,23:00-22:00,01:00-23:00,01:00-23:00,11:00-21:15,07:30-20:30 & 23:45-06:15,23:00-22:00,06:55-20:45 & 23:30-06:30,08:10-22:00 & 00:50-07:30,08:10-22:00 & 00:50-07:30,07:35-19:00 & 01:45-06:50,10:00-16:45 & 02:15-09:15,10:00-16:45 & 02:15-09:15,10:00-16:45 & 02:15-09:15,10:00-16:45 & 02:15-09:15,06:50-21:00,01:00-21:00,06:50-21:00,07:00-21:00,08:00-16:50,08:00-19:00,08:00-16:50,08:00-16:25,06:50-21:00,13:00-21:55,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,11:00-21:00,11:00-21:00,01:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:30-18:00,08:00-18:00,07:30-18:00,07:00-18:00,07:00-18:00,08:08-22:00 & 23:28-07:30,08:10-22:00 & 23:30-07:30,08:12-22:00 & 23:32-07:30,06:40-20:00 & 21:30-05:30,00:45-03:30 & 04:30-12:00,07:30-21:30 & 00:45-07:02,01:00-07:15,01:00-07:15,13:00-20:00 & 20:50-22:00,13:30-20:00,13:30-20:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,13:30-20:00,13:00-20:00 & 21:15-22:00,13:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,01:00-23:00,23:00-22:00,23:00-22:00,23:00-22:00,23:00-22:00,14:00-16:30 & 02:00-08:00,08:30-20:00 & 01:00-07:15,09:15-18:30,19:30-22:00 & 13:00-19:00,01:00-19:20,02:00-19:20,14:30-19:05,14:30-19:05,15:00-22:00,01:00-19:20,23:00-22:00,13:00-19:00,01:00-19:20,01:00-19:20,14:00-16:00 & 02:00-08:00,01:00-19:20,01:00-19:20,01:00-19:20,08:30-18:00,01:00-19:20
SECURITY_TYP2,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future
SECURITY_TYP,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Physical index future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Financial commodity future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Currency future,Financial commodity generic,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical index future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future,Physical commodity future
FUTURES_CATEGORY,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Equity Index,Interest Rate,Interest Rate,Bond,Bond,Bond,Bond,Bond,Bond,Interest Rate,Bond,Interest Rate,Bond,Bond,Bond,Bond,Interest Rate,Bond,Interest Rate,Bond,Bond,Interest Rate,Bond,Bond,Interest Rate,Interest Rate,Bond,Bond,Bond,Interest Rate,Interest Rate,Interest Rate,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Interest Rate,Currency,Currency,Currency,Currency,Currency,Cross Currency,Cross Currency,Cross Currency,Precious Metal,Base Metal,Precious Metal,Precious Metal,Precious Metal,Refined Products,Crude Oil,Refined Products,Natural Gas,Refined Products,Coal,Foodstuff,Equity Index,Foodstuff,Corn,Fibers,Livestock,Livestock,Industrial Material,Other Grain,Foodstuff,Foodstuff,Other Grain,Other Grain,Industrial Material,Soy,Soy,Soy,Foodstuff,Wheat
ASSET_CLASS,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO
PRODUCT,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE
EXPOSURE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE,DERIVATIVE
TRADE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
